pair_type,euclidean_distance,hyperbolic_distance,distance_ratio,euclidean_level_diff,hyperbolic_level_diff
unrelated,0.991348,2.158458,2.177296,0.991348,2.158458
unrelated,1.018674,2.208382,2.167899,1.018674,2.208382
unrelated,0.981643,2.138063,2.178045,0.981643,2.138063
unrelated,0.944101,2.056381,2.178138,0.472050,1.028191
unrelated,1.011177,2.182531,2.158406,1.011177,2.182531
unrelated,0.940539,2.045579,2.174900,0.940539,2.045579
unrelated,0.982329,2.127903,2.166181,0.982329,2.127903
unrelated,1.051928,2.254878,2.143567,1.051928,2.254878
unrelated,1.009008,2.177217,2.157779,1.009008,2.177217
unrelated,1.032365,2.218098,2.148560,1.032365,2.218098
unrelated,1.031567,2.220713,2.152757,1.031567,2.220713
unrelated,0.944008,2.053272,2.175058,0.944008,2.053272
unrelated,0.939798,2.051905,2.183345,0.939798,2.051905
unrelated,0.911306,1.996026,2.190290,0.911306,1.996026
unrelated,0.900074,1.975107,2.194384,0.900074,1.975107
unrelated,0.917381,2.009863,2.190870,0.917381,2.009863
unrelated,0.539332,1.213117,2.249294,0.269666,0.606559
unrelated,0.627275,1.403128,2.236860,0.627275,1.403128
unrelated,0.643279,1.438165,2.235677,0.643279,1.438165
unrelated,0.652999,1.459036,2.234363,0.652999,1.459036
unrelated,0.655248,1.464409,2.234894,0.655248,1.464409
unrelated,0.500558,1.118306,2.234120,0.500558,1.118306
unrelated,0.492238,1.096814,2.228218,0.492238,1.096814
unrelated,0.493345,1.101612,2.232942,0.493345,1.101612
unrelated,0.542635,1.207934,2.226053,0.542635,1.207934
unrelated,0.526998,1.182759,2.244331,0.526998,1.182759
unrelated,0.567604,1.274157,2.244798,0.567604,1.274157
unrelated,0.549262,1.235021,2.248511,0.549262,1.235021
unrelated,0.579391,1.300684,2.244918,0.579391,1.300684
unrelated,0.542318,1.206107,2.223984,0.180773,0.402036
unrelated,0.634053,1.402247,2.211561,0.317027,0.701124
unrelated,0.688465,1.520982,2.209238,0.688465,1.520982
unrelated,0.767562,1.690335,2.202214,0.767562,1.690335
unrelated,0.644449,1.427100,2.214449,0.644449,1.427100
unrelated,0.737962,1.620224,2.195540,0.737962,1.620224
unrelated,0.564471,1.253114,2.219980,0.564471,1.253114
unrelated,0.587892,1.273499,2.166214,0.587892,1.273499
unrelated,0.689440,1.502008,2.178593,0.689440,1.502008
unrelated,0.584272,1.289659,2.207293,0.584272,1.289659
unrelated,0.614701,1.357406,2.208240,0.614701,1.357406
unrelated,0.538210,1.189303,2.209737,0.538210,1.189303
unrelated,0.733560,1.591243,2.169206,0.733560,1.591243
unrelated,0.669598,1.470487,2.196075,0.669598,1.470487
unrelated,0.704095,1.508555,2.142544,0.352048,0.754277
unrelated,0.774880,1.616068,2.085571,0.774880,1.616068
unrelated,0.717227,1.500453,2.092020,0.717227,1.500453
unrelated,0.854384,1.734296,2.029880,0.854384,1.734296
unrelated,0.747427,1.570319,2.100967,0.747427,1.570319
unrelated,0.732008,1.589762,2.171782,0.732008,1.589762
unrelated,0.705152,1.534747,2.176477,0.705152,1.534747
unrelated,0.836341,1.800164,2.152428,0.836341,1.800164
unrelated,0.882864,1.861234,2.108178,0.882864,1.861234
unrelated,0.696310,1.513008,2.172893,0.696310,1.513008
unrelated,0.607359,1.334507,2.197231,0.607359,1.334507
unrelated,0.652964,1.449040,2.219173,0.652964,1.449040
unrelated,0.618538,1.373591,2.220705,0.618538,1.373591
unrelated,0.431597,0.952325,2.206516,0.215798,0.476163
unrelated,0.515362,1.133460,2.199347,0.515362,1.133460
unrelated,0.454650,1.001386,2.202540,0.454650,1.001386
unrelated,0.531980,1.159386,2.179381,0.531980,1.159386
unrelated,0.531091,1.173917,2.210386,0.531091,1.173917
unrelated,0.410010,0.895781,2.184779,0.410010,0.895781
unrelated,0.475019,1.030927,2.170287,0.475019,1.030927
unrelated,0.496402,1.058642,2.132630,0.496402,1.058642
unrelated,0.407084,0.916550,2.251503,0.407084,0.916550
unrelated,0.486587,1.051556,2.161088,0.486587,1.051556
unrelated,0.538223,1.162858,2.160550,0.538223,1.162858
unrelated,0.530012,1.136986,2.145208,0.530012,1.136986
unrelated,0.425382,0.919908,2.162547,0.425382,0.919908
unrelated,0.548048,1.200288,2.190116,0.182683,0.400096
unrelated,0.484304,1.071467,2.212386,0.242152,0.535734
unrelated,0.468925,1.038905,2.215501,0.468925,1.038905
unrelated,0.476420,1.058458,2.221693,0.476420,1.058458
unrelated,0.552687,1.221191,2.209550,0.552687,1.221191
unrelated,0.525622,1.140960,2.170688,0.525622,1.140960
unrelated,0.474639,1.061906,2.237292,0.474639,1.061906
unrelated,0.490924,1.091502,2.223362,0.490924,1.091502
unrelated,0.490539,1.093482,2.229145,0.490539,1.093482
unrelated,0.507575,1.137829,2.241695,0.507575,1.137829
unrelated,0.529340,1.170829,2.211867,0.529340,1.170829
unrelated,0.556768,1.240746,2.228481,0.556768,1.240746
unrelated,0.564867,1.225354,2.169281,0.564867,1.225354
unrelated,0.655228,1.414842,2.159311,0.655228,1.414842
unrelated,0.577012,1.229467,2.130746,0.288506,0.614733
unrelated,0.523382,1.113323,2.127170,0.523382,1.113323
unrelated,0.570174,1.211874,2.125447,0.570174,1.211874
unrelated,0.486994,1.049838,2.155753,0.486994,1.049838
unrelated,0.504677,1.080729,2.141430,0.504677,1.080729
unrelated,0.668024,1.391469,2.082964,0.668024,1.391469
unrelated,0.597777,1.284479,2.148759,0.597777,1.284479
unrelated,0.780698,1.577102,2.020117,0.780698,1.577102
unrelated,0.720456,1.470752,2.041418,0.720456,1.470752
unrelated,0.509630,1.118247,2.194235,0.509630,1.118247
unrelated,0.445122,0.989052,2.221978,0.445122,0.989052
unrelated,0.472329,1.012242,2.143088,0.472329,1.012242
unrelated,0.525019,1.156345,2.202483,0.525019,1.156345
unrelated,0.587491,1.255750,2.137479,0.293746,0.627875
unrelated,0.444179,0.951740,2.142696,0.444179,0.951740
unrelated,0.422625,0.896777,2.121920,0.422625,0.896777
unrelated,0.496295,1.024854,2.065008,0.496295,1.024854
unrelated,0.431609,0.920798,2.133410,0.431609,0.920798
unrelated,0.674977,1.427362,2.114683,0.674977,1.427362
unrelated,0.805284,1.654731,2.054842,0.805284,1.654731
unrelated,0.729239,1.511139,2.072212,0.729239,1.511139
unrelated,0.688862,1.427508,2.072269,0.688862,1.427508
unrelated,0.659768,1.393193,2.111640,0.659768,1.393193
unrelated,0.651099,1.373062,2.108837,0.651099,1.373062
unrelated,0.701004,1.477417,2.107574,0.701004,1.477417
unrelated,0.653355,1.410298,2.158549,0.653355,1.410298
unrelated,0.875772,1.918850,2.191038,0.218943,0.479713
unrelated,0.904643,1.971572,2.179393,0.301548,0.657191
unrelated,0.984741,2.121787,2.154665,0.492370,1.060894
unrelated,1.063861,2.267880,2.131745,1.063861,2.267880
unrelated,1.135873,2.393346,2.107055,1.135873,2.393346
unrelated,1.092871,2.319223,2.122138,1.092871,2.319223
unrelated,1.156587,2.424678,2.096409,1.156587,2.424678
unrelated,1.060014,2.261381,2.133351,1.060014,2.261381
unrelated,0.996137,2.150315,2.158655,0.996137,2.150315
unrelated,1.146272,2.414358,2.106269,1.146272,2.414358
unrelated,1.082861,2.306816,2.130297,1.082861,2.306816
unrelated,0.956426,2.077359,2.172003,0.956426,2.077359
unrelated,0.891291,1.952611,2.190767,0.891291,1.952611
unrelated,0.841363,1.855516,2.205370,0.841363,1.855516
unrelated,0.967910,2.100488,2.170128,0.967910,2.100488
unrelated,0.868172,1.903497,2.192534,0.434086,0.951749
unrelated,0.824700,1.817866,2.204275,0.824700,1.817866
unrelated,0.873669,1.915489,2.192466,0.873669,1.915489
unrelated,0.864700,1.895467,2.192050,0.864700,1.895467
unrelated,0.856394,1.876262,2.190885,0.856394,1.876262
unrelated,0.785904,1.739217,2.213015,0.785904,1.739217
unrelated,0.810489,1.789826,2.208330,0.810489,1.789826
unrelated,0.810008,1.789260,2.208942,0.810008,1.789260
unrelated,0.834547,1.839040,2.203638,0.834547,1.839040
unrelated,0.937036,2.021562,2.157400,0.937036,2.021562
unrelated,1.026731,2.172017,2.115468,1.026731,2.172017
unrelated,0.900435,1.947204,2.162516,0.900435,1.947204
unrelated,0.954195,2.047277,2.145555,0.954195,2.047277
unrelated,0.932289,2.025661,2.172784,0.466144,1.012831
unrelated,1.080308,2.290660,2.120377,1.080308,2.290660
unrelated,1.169332,2.431441,2.079342,1.169332,2.431441
unrelated,1.028926,2.198653,2.136842,1.028926,2.198653
unrelated,1.045502,2.231910,2.134773,1.045502,2.231910
unrelated,1.008947,2.168253,2.149025,1.008947,2.168253
unrelated,1.057756,2.252403,2.129416,1.057756,2.252403
unrelated,1.018839,2.177775,2.137506,1.018839,2.177775
unrelated,1.019035,2.181871,2.141114,1.019035,2.181871
unrelated,0.974246,2.098190,2.153656,0.974246,2.098190
unrelated,1.064728,2.255092,2.117997,1.064728,2.255092
unrelated,1.027170,2.192415,2.134422,1.027170,2.192415
unrelated,0.908728,1.976912,2.175472,0.908728,1.976912
unrelated,0.565471,1.269944,2.245817,0.188490,0.423315
unrelated,0.503925,1.132322,2.247005,0.251963,0.566161
unrelated,0.537953,1.208131,2.245794,0.537953,1.208131
unrelated,0.601657,1.350748,2.245046,0.601657,1.350748
unrelated,0.610245,1.369080,2.243491,0.610245,1.369080
unrelated,0.543396,1.223403,2.251403,0.543396,1.223403
unrelated,0.478098,1.073622,2.245612,0.478098,1.073622
unrelated,0.520183,1.171294,2.251696,0.520183,1.171294
unrelated,0.470052,1.055593,2.245692,0.470052,1.055593
unrelated,0.452009,1.016675,2.249238,0.452009,1.016675
unrelated,0.646908,1.448753,2.239503,0.646908,1.448753
unrelated,0.644963,1.444678,2.239940,0.644963,1.444678
unrelated,0.563716,1.267333,2.248175,0.563716,1.267333
unrelated,0.721162,1.606886,2.228190,0.721162,1.606886
unrelated,0.406900,0.911182,2.239327,0.203450,0.455591
unrelated,0.281515,0.630277,2.238877,0.281515,0.630277
unrelated,0.234262,0.510922,2.180988,0.234262,0.510922
unrelated,0.220909,0.501932,2.272117,0.220909,0.501932
unrelated,0.283538,0.624692,2.203199,0.283538,0.624692
unrelated,0.342465,0.758756,2.215575,0.342465,0.758756
unrelated,0.312083,0.689193,2.208365,0.312083,0.689193
unrelated,0.262211,0.578796,2.207367,0.262211,0.578796
unrelated,0.379496,0.842927,2.221175,0.379496,0.842927
unrelated,0.475870,1.067160,2.242546,0.475870,1.067160
unrelated,0.586141,1.314693,2.242964,0.586141,1.314693
unrelated,0.358376,0.801115,2.235404,0.358376,0.801115
unrelated,0.625542,1.401163,2.239918,0.625542,1.401163
unrelated,0.660326,1.477602,2.237684,0.330163,0.738801
unrelated,0.665180,1.488011,2.237004,0.665180,1.488011
unrelated,0.701149,1.564184,2.230888,0.701149,1.564184
unrelated,0.752717,1.671466,2.220575,0.752717,1.671466
unrelated,0.717856,1.596778,2.224370,0.717856,1.596778
unrelated,0.615250,1.380712,2.244149,0.615250,1.380712
unrelated,0.605722,1.359994,2.245245,0.605722,1.359994
unrelated,0.580377,1.304970,2.248488,0.580377,1.304970
unrelated,0.620888,1.392819,2.243269,0.620888,1.392819
unrelated,0.797021,1.759000,2.206969,0.797021,1.759000
unrelated,0.756825,1.674953,2.213130,0.756825,1.674953
unrelated,0.786475,1.736832,2.208375,0.786475,1.736832
unrelated,0.744048,1.652710,2.221239,0.744048,1.652710
unrelated,1.025309,2.182890,2.129006,0.341770,0.727630
unrelated,1.017449,2.135172,2.098554,0.508725,1.067586
unrelated,1.059471,2.219987,2.095374,1.059471,2.219987
unrelated,1.002911,2.116946,2.110800,1.002911,2.116946
unrelated,1.087590,2.262250,2.080059,1.087590,2.262250
unrelated,1.037022,2.180339,2.102501,1.037022,2.180339
unrelated,1.005282,2.123362,2.112205,1.005282,2.123362
unrelated,1.062876,2.222748,2.091259,1.062876,2.222748
unrelated,1.010156,2.140860,2.119336,1.010156,2.140860
unrelated,1.001330,2.119687,2.116872,1.001330,2.119687
unrelated,1.067216,2.201333,2.062688,1.067216,2.201333
unrelated,0.914800,1.948287,2.129741,0.914800,1.948287
unrelated,1.146087,2.323202,2.027074,1.146087,2.323202
unrelated,1.110219,2.269319,2.044029,1.110219,2.269319
unrelated,1.043906,2.211629,2.118610,0.521953,1.105815
unrelated,1.156253,2.401006,2.076541,1.156253,2.401006
unrelated,1.214737,2.480240,2.041792,1.214737,2.480240
unrelated,1.122534,2.337653,2.082479,1.122534,2.337653
unrelated,1.193965,2.468891,2.067808,1.193965,2.468891
unrelated,1.054152,2.239682,2.124628,1.054152,2.239682
unrelated,1.046586,2.230546,2.131258,1.046586,2.230546
unrelated,1.074714,2.274797,2.116654,1.074714,2.274797
unrelated,1.028029,2.190736,2.131006,1.028029,2.190736
unrelated,1.077472,2.262332,2.099666,1.077472,2.262332
unrelated,1.013673,2.152406,2.123373,1.013673,2.152406
unrelated,1.143133,2.374215,2.076937,1.143133,2.374215
unrelated,1.094147,2.301302,2.103284,1.094147,2.301302
unrelated,1.265301,2.569041,2.030379,0.632650,1.284520
unrelated,1.186721,2.449176,2.063818,1.186721,2.449176
unrelated,1.169976,2.430787,2.077638,1.169976,2.430787
unrelated,1.270987,2.567785,2.020308,1.270987,2.567785
unrelated,1.167497,2.419965,2.072780,1.167497,2.419965
unrelated,1.224825,2.493583,2.035870,1.224825,2.493583
unrelated,1.246061,2.533105,2.032890,1.246061,2.533105
unrelated,1.271585,2.554861,2.009194,1.271585,2.554861
unrelated,1.315295,2.621675,1.993222,1.315295,2.621675
unrelated,1.169576,2.419556,2.068746,1.169576,2.419556
unrelated,1.184087,2.449625,2.068788,1.184087,2.449625
unrelated,1.253744,2.551957,2.035469,1.253744,2.551957
unrelated,1.186704,2.444672,2.060051,1.186704,2.444672
unrelated,0.701549,1.565293,2.231195,0.175387,0.391323
unrelated,1.026160,2.205825,2.149591,0.342053,0.735275
unrelated,0.989900,2.139163,2.160990,0.494950,1.069582
unrelated,1.126669,2.378322,2.110932,1.126669,2.378322
unrelated,1.173367,2.454904,2.092187,1.173367,2.454904
unrelated,1.038058,2.229929,2.148175,1.038058,2.229929
unrelated,1.115507,2.365201,2.120292,1.115507,2.365201
unrelated,0.984483,2.126900,2.160423,0.984483,2.126900
unrelated,1.034986,2.220766,2.145697,1.034986,2.220766
unrelated,1.128143,2.380893,2.110454,1.128143,2.380893
unrelated,1.024668,2.196200,2.143328,1.024668,2.196200
unrelated,0.910647,1.990570,2.185885,0.910647,1.990570
unrelated,0.873595,1.915891,2.193112,0.873595,1.915891
unrelated,0.980004,2.122689,2.166001,0.980004,2.122689
unrelated,0.933977,2.030376,2.173903,0.933977,2.030376
unrelated,1.020827,2.192468,2.147736,0.510414,1.096234
unrelated,0.949268,2.061629,2.171811,0.949268,2.061629
unrelated,0.964155,2.087082,2.164675,0.964155,2.087082
unrelated,0.969761,2.090155,2.155329,0.969761,2.090155
unrelated,0.889810,1.949125,2.190497,0.889810,1.949125
unrelated,1.058858,2.268608,2.142504,1.058858,2.268608
unrelated,1.084409,2.312395,2.132402,1.084409,2.312395
unrelated,1.102028,2.341025,2.124289,1.102028,2.341025
unrelated,1.093446,2.325425,2.126695,1.093446,2.325425
unrelated,0.923361,2.012026,2.179026,0.923361,2.012026
unrelated,0.949767,2.062307,2.171382,0.949767,2.062307
unrelated,1.046125,2.235171,2.136618,1.046125,2.235171
unrelated,0.911828,1.987929,2.180157,0.911828,1.987929
unrelated,1.096636,2.329505,2.124229,0.548318,1.164753
unrelated,1.081730,2.304952,2.130801,1.081730,2.304952
unrelated,1.058051,2.260355,2.136339,1.058051,2.260355
unrelated,0.996350,2.152417,2.160303,0.996350,2.152417
unrelated,1.107272,2.348037,2.120559,1.107272,2.348037
unrelated,1.029947,2.213017,2.148670,1.029947,2.213017
unrelated,0.965292,2.089766,2.164905,0.965292,2.089766
unrelated,1.030434,2.209555,2.144296,1.030434,2.209555
unrelated,1.077576,2.302140,2.136405,1.077576,2.302140
unrelated,1.056505,2.258912,2.138098,1.056505,2.258912
unrelated,0.977465,2.112393,2.161094,0.977465,2.112393
unrelated,1.144429,2.408206,2.104286,1.144429,2.408206
unrelated,1.076160,2.294755,2.132354,1.076160,2.294755
unrelated,1.090314,2.318067,2.126056,0.363438,0.772689
unrelated,0.879673,1.928816,2.192651,0.439837,0.964408
unrelated,0.810338,1.791852,2.211241,0.810338,1.791852
unrelated,0.773511,1.715206,2.217431,0.773511,1.715206
unrelated,0.857111,1.883126,2.197063,0.857111,1.883126
unrelated,0.836235,1.845172,2.206523,0.836235,1.845172
unrelated,0.899883,1.971452,2.190786,0.899883,1.971452
unrelated,0.917201,2.005219,2.186237,0.917201,2.005219
unrelated,0.816527,1.805591,2.211305,0.816527,1.805591
unrelated,0.900936,1.974967,2.192128,0.900936,1.974967
unrelated,0.918725,2.006733,2.184260,0.918725,2.006733
unrelated,0.913074,1.995809,2.185812,0.913074,1.995809
unrelated,0.907595,1.984323,2.186353,0.907595,1.984323
unrelated,1.021145,2.197846,2.152334,1.021145,2.197846
unrelated,1.006564,2.164120,2.150007,0.503282,1.082060
unrelated,1.055408,2.246639,2.128692,1.055408,2.246639
unrelated,1.054446,2.249636,2.133476,1.054446,2.249636
unrelated,1.183246,2.464098,2.082489,1.183246,2.464098
unrelated,1.044552,2.228262,2.133223,1.044552,2.228262
unrelated,1.078246,2.290307,2.124104,1.078246,2.290307
unrelated,1.042780,2.220517,2.129421,1.042780,2.220517
unrelated,1.075824,2.275397,2.115027,1.075824,2.275397
unrelated,1.065685,2.267068,2.127334,1.065685,2.267068
unrelated,0.967408,2.095136,2.165721,0.967408,2.095136
unrelated,0.972790,2.105013,2.163893,0.972790,2.105013
unrelated,0.969488,2.100445,2.166551,0.969488,2.100445
unrelated,0.931890,2.024293,2.172243,0.931890,2.024293
unrelated,1.157275,2.426383,2.096635,0.578638,1.213192
unrelated,1.229539,2.520365,2.049846,1.229539,2.520365
unrelated,1.246360,2.532404,2.031839,1.246360,2.532404
unrelated,1.227634,2.521753,2.054157,1.227634,2.521753
unrelated,1.234982,2.534738,2.052449,1.234982,2.534738
unrelated,1.149177,2.409106,2.096375,1.149177,2.409106
unrelated,1.129396,2.380016,2.107335,1.129396,2.380016
unrelated,1.181967,2.469574,2.089375,1.181967,2.469574
unrelated,1.153644,2.414450,2.092889,1.153644,2.414450
unrelated,1.117700,2.353023,2.105237,1.117700,2.353023
unrelated,1.129152,2.370715,2.099553,1.129152,2.370715
unrelated,1.026527,2.201842,2.144944,1.026527,2.201842
unrelated,1.149407,2.395762,2.084346,1.149407,2.395762
unrelated,0.753458,1.672687,2.220015,0.251153,0.557562
unrelated,0.869330,1.911242,2.198523,0.434665,0.955621
unrelated,0.790681,1.750896,2.214414,0.790681,1.750896
unrelated,0.743061,1.652818,2.224339,0.743061,1.652818
unrelated,0.796392,1.761287,2.211581,0.796392,1.761287
unrelated,0.711239,1.585714,2.229509,0.711239,1.585714
unrelated,0.926656,2.021472,2.181470,0.926656,2.021472
unrelated,0.905644,1.982501,2.189051,0.905644,1.982501
unrelated,0.919173,2.007643,2.184183,0.919173,2.007643
unrelated,0.893780,1.957534,2.190175,0.893780,1.957534
unrelated,0.948405,2.066899,2.179342,0.948405,2.066899
unrelated,0.934286,2.041367,2.184949,0.934286,2.041367
unrelated,0.968652,2.104374,2.172476,0.968652,2.104374
unrelated,0.929116,2.029283,2.184101,0.929116,2.029283
unrelated,0.911029,1.983700,2.177429,0.455514,0.991850
unrelated,0.976297,2.105582,2.156703,0.976297,2.105582
unrelated,0.911645,1.980294,2.172220,0.911645,1.980294
unrelated,0.947989,2.052041,2.164625,0.947989,2.052041
unrelated,1.018117,2.179324,2.140543,1.018117,2.179324
unrelated,0.976492,2.104757,2.155427,0.976492,2.104757
unrelated,1.000596,2.146527,2.145248,1.000596,2.146527
unrelated,0.997100,2.144604,2.150842,0.997100,2.144604
unrelated,0.914002,1.985981,2.172842,0.914002,1.985981
unrelated,0.901577,1.970102,2.185175,0.901577,1.970102
unrelated,0.873469,1.915116,2.192541,0.873469,1.915116
unrelated,0.859863,1.890104,2.198145,0.859863,1.890104
unrelated,0.875687,1.921987,2.194834,0.875687,1.921987
unrelated,0.518974,1.171076,2.256524,0.259487,0.585538
unrelated,0.595084,1.336759,2.246338,0.595084,1.336759
unrelated,0.611016,1.371417,2.244486,0.611016,1.371417
unrelated,0.619607,1.389965,2.243299,0.619607,1.389965
unrelated,0.623221,1.397879,2.242990,0.623221,1.397879
unrelated,0.465282,1.047748,2.251859,0.465282,1.047748
unrelated,0.450951,1.013723,2.247966,0.450951,1.013723
unrelated,0.455265,1.025014,2.251468,0.455265,1.025014
unrelated,0.500465,1.123149,2.244214,0.500465,1.123149
unrelated,0.500426,1.129119,2.256314,0.500426,1.129119
unrelated,0.542585,1.222632,2.253348,0.542585,1.222632
unrelated,0.528458,1.191894,2.255418,0.528458,1.191894
unrelated,0.554704,1.249275,2.252148,0.554704,1.249275
ancestor-descendant,0.226691,0.515152,2.272484,0.226691,0.515152
ancestor-descendant,0.255611,0.581030,2.273106,0.127805,0.290515
ancestor-descendant,0.386518,0.875437,2.264932,0.128839,0.291812
ancestor-descendant,0.225283,0.512750,2.276029,0.075094,0.170917
ancestor-descendant,0.282100,0.637133,2.258539,0.094033,0.212378
ancestor-descendant,0.149513,0.340859,2.279792,0.074757,0.170429
ancestor-descendant,0.268989,0.590743,2.196161,0.089663,0.196914
ancestor-descendant,0.228030,0.498483,2.186040,0.076010,0.166161
ancestor-descendant,0.043961,0.085281,1.939903,0.014654,0.028427
ancestor-descendant,0.158355,0.357796,2.259462,0.079177,0.178898
ancestor-descendant,0.247800,0.562377,2.269479,0.082600,0.187459
ancestor-descendant,0.266907,0.581008,2.176819,0.088969,0.193669
ancestor-descendant,0.196695,0.439661,2.235242,0.065565,0.146554
ancestor-descendant,0.245646,0.501001,2.039523,0.245646,0.501001
ancestor-descendant,0.342025,0.661563,1.934254,0.171012,0.330782
ancestor-descendant,0.300366,0.576271,1.918560,0.100122,0.192090
ancestor-descendant,0.476498,0.916138,1.922650,0.158833,0.305379
ancestor-descendant,0.382671,0.788611,2.060807,0.127557,0.262870
ancestor-descendant,0.301021,0.663118,2.202899,0.150510,0.331559
ancestor-descendant,0.203727,0.438487,2.152332,0.067909,0.146162
ancestor-descendant,0.424470,0.932293,2.196369,0.141490,0.310764
ancestor-descendant,0.498877,1.058953,2.122672,0.166292,0.352984
ancestor-descendant,0.289761,0.638033,2.201925,0.144881,0.319016
ancestor-descendant,0.184912,0.412900,2.232948,0.061637,0.137633
ancestor-descendant,0.275110,0.625838,2.274868,0.091703,0.208613
ancestor-descendant,0.259360,0.590281,2.275911,0.086453,0.196760
ancestor-descendant,0.197650,0.449674,2.275103,0.197650,0.449674
ancestor-descendant,0.113250,0.250160,2.208924,0.056625,0.125080
ancestor-descendant,0.173489,0.393382,2.267477,0.057830,0.131127
ancestor-descendant,0.151364,0.326276,2.155571,0.050455,0.108759
ancestor-descendant,0.080102,0.178353,2.226579,0.026701,0.059451
ancestor-descendant,0.253209,0.573688,2.265667,0.126605,0.286844
ancestor-descendant,0.213358,0.474083,2.222001,0.071119,0.158028
ancestor-descendant,0.268586,0.584940,2.177849,0.089529,0.194980
ancestor-descendant,0.139829,0.307878,2.201818,0.046610,0.102626
ancestor-descendant,0.228230,0.503810,2.207460,0.114115,0.251905
ancestor-descendant,0.191630,0.409493,2.136891,0.063877,0.136498
ancestor-descendant,0.223791,0.478669,2.138907,0.074597,0.159556
ancestor-descendant,0.285252,0.641683,2.249533,0.095084,0.213894
siblings,0.248915,0.558591,2.244108,0.248915,0.558591
unrelated,0.282508,0.641820,2.271863,0.282508,0.641820
unrelated,0.363177,0.823452,2.267354,0.181589,0.411726
unrelated,0.404721,0.916386,2.264241,0.134907,0.305462
unrelated,0.352864,0.799196,2.264886,0.117621,0.266399
unrelated,0.417395,0.935468,2.241205,0.139132,0.311823
unrelated,0.269481,0.611950,2.270847,0.134741,0.305975
unrelated,0.266326,0.606010,2.275442,0.088775,0.202003
unrelated,0.184960,0.421456,2.278636,0.061653,0.140485
unrelated,0.226870,0.513316,2.262601,0.075623,0.171105
unrelated,0.226184,0.513840,2.271783,0.113092,0.256920
unrelated,0.323756,0.735231,2.270942,0.107919,0.245077
unrelated,0.341325,0.760755,2.228828,0.113775,0.253585
unrelated,0.354384,0.779850,2.200580,0.118128,0.259950
unrelated,0.276299,0.587261,2.125453,0.276299,0.587261
unrelated,0.343699,0.753679,2.192846,0.171850,0.376840
unrelated,0.328850,0.710546,2.160701,0.109617,0.236849
unrelated,0.366230,0.818925,2.236095,0.122077,0.272975
unrelated,0.285079,0.625979,2.195809,0.095026,0.208660
unrelated,0.309473,0.606027,1.958258,0.154736,0.303014
unrelated,0.258543,0.553514,2.140896,0.086181,0.184505
unrelated,0.389081,0.698565,1.795421,0.129694,0.232855
unrelated,0.354405,0.658948,1.859306,0.118135,0.219649
unrelated,0.189693,0.425798,2.244667,0.094847,0.212899
unrelated,0.218438,0.497669,2.278304,0.072813,0.165890
unrelated,0.333456,0.742355,2.226243,0.111152,0.247452
unrelated,0.139814,0.313318,2.240965,0.046605,0.104439
unrelated,0.321681,0.697612,2.168648,0.321681,0.697612
unrelated,0.364935,0.816820,2.238261,0.182468,0.408410
unrelated,0.387733,0.866496,2.234774,0.129244,0.288832
unrelated,0.477899,1.045638,2.187992,0.159300,0.348546
unrelated,0.394228,0.882350,2.238173,0.131409,0.294117
unrelated,0.409785,0.877340,2.140976,0.204893,0.438670
unrelated,0.430649,0.844223,1.960350,0.143550,0.281408
unrelated,0.409364,0.830629,2.029070,0.136455,0.276876
unrelated,0.411056,0.845827,2.057693,0.137019,0.281942
unrelated,0.377452,0.801227,2.122725,0.188726,0.400613
unrelated,0.363954,0.768549,2.111667,0.121318,0.256183
unrelated,0.418936,0.889694,2.123701,0.139645,0.296565
unrelated,0.309725,0.675781,2.181877,0.103242,0.225260
unrelated,0.751399,1.667631,2.219369,0.751399,1.667631
cousins,0.631248,1.410836,2.234995,0.631248,1.410836
unrelated,0.680239,1.508937,2.218247,0.680239,1.508937
unrelated,0.804887,1.763595,2.191109,0.402443,0.881797
unrelated,0.898140,1.943687,2.164124,0.299380,0.647896
unrelated,0.828697,1.808478,2.182316,0.276232,0.602826
unrelated,0.867692,1.872472,2.157991,0.289231,0.624157
unrelated,0.819397,1.794740,2.190319,0.409698,0.897370
unrelated,0.765077,1.691902,2.211414,0.255026,0.563967
unrelated,0.928165,2.005758,2.160994,0.309388,0.668586
unrelated,0.884207,1.928789,2.181376,0.294736,0.642930
unrelated,0.738717,1.639655,2.219599,0.369358,0.819827
unrelated,0.692390,1.543034,2.228562,0.230797,0.514345
unrelated,0.690337,1.536323,2.225467,0.230112,0.512108
unrelated,0.761913,1.688349,2.215935,0.253971,0.562783
unrelated,0.669832,1.495013,2.231921,0.669832,1.495013
unrelated,0.683910,1.524538,2.229150,0.341955,0.762269
unrelated,0.726029,1.614285,2.223444,0.242010,0.538095
unrelated,0.726660,1.615515,2.223206,0.242220,0.538505
unrelated,0.655119,1.463197,2.233484,0.218373,0.487732
unrelated,0.627164,1.401839,2.235201,0.313582,0.700919
unrelated,0.665779,1.485197,2.230765,0.221926,0.495066
unrelated,0.705446,1.569470,2.224790,0.235149,0.523157
unrelated,0.727491,1.616704,2.222300,0.242497,0.538901
unrelated,0.697029,1.542717,2.213274,0.348515,0.771358
unrelated,0.760690,1.652682,2.172610,0.253563,0.550894
unrelated,0.642590,1.426608,2.220090,0.214197,0.475536
unrelated,0.690439,1.521823,2.204137,0.230146,0.507274
unrelated,0.663207,1.478372,2.229126,0.663207,1.478372
