pair_type,euclidean_distance,hyperbolic_distance,distance_ratio,euclidean_level_diff,hyperbolic_level_diff
ancestor-descendant,0.252258,0.553269,2.193272,0.063064,0.138317
ancestor-descendant,0.395801,0.883304,2.231690,0.395801,0.883304
ancestor-descendant,0.406705,0.916853,2.254347,0.203352,0.458427
ancestor-descendant,0.475346,1.070387,2.251806,0.158449,0.356796
ancestor-descendant,0.514772,1.158194,2.249917,0.128693,0.289548
ancestor-descendant,0.491113,1.102860,2.245635,0.122778,0.275715
ancestor-descendant,0.537708,1.195211,2.222789,0.134427,0.298803
ancestor-descendant,0.392236,0.888928,2.266308,0.130745,0.296309
ancestor-descendant,0.395741,0.894663,2.260728,0.098935,0.223666
ancestor-descendant,0.320318,0.726591,2.268344,0.080079,0.181648
ancestor-descendant,0.360673,0.818719,2.269973,0.090168,0.204680
ancestor-descendant,0.372560,0.839379,2.253003,0.124187,0.279793
ancestor-descendant,0.461677,1.042349,2.257744,0.115419,0.260587
ancestor-descendant,0.481651,1.067413,2.216153,0.120413,0.266853
ancestor-descendant,0.516417,1.135247,2.198314,0.129104,0.283812
ancestor-descendant,0.402378,0.866214,2.152736,0.201189,0.433107
ancestor-descendant,0.450600,0.984669,2.185240,0.150200,0.328223
ancestor-descendant,0.454672,0.986039,2.168684,0.113668,0.246510
ancestor-descendant,0.471542,1.046388,2.219079,0.117885,0.261597
ancestor-descendant,0.380368,0.831610,2.186332,0.095092,0.207902
ancestor-descendant,0.436560,0.895641,2.051587,0.145520,0.298547
ancestor-descendant,0.406243,0.882715,2.172872,0.101561,0.220679
ancestor-descendant,0.507543,0.977095,1.925147,0.126886,0.244274
ancestor-descendant,0.463976,0.910544,1.962479,0.115994,0.227636
ancestor-descendant,0.319033,0.712156,2.232228,0.106344,0.237385
ancestor-descendant,0.325472,0.737198,2.265014,0.081368,0.184300
ancestor-descendant,0.422863,0.934164,2.209142,0.105716,0.233541
ancestor-descendant,0.282485,0.631271,2.234709,0.070621,0.157818
ancestor-descendant,0.460616,1.003223,2.178002,0.230308,0.501612
ancestor-descendant,0.444328,0.986109,2.219326,0.148109,0.328703
ancestor-descendant,0.447974,0.992063,2.214555,0.111994,0.248016
ancestor-descendant,0.554468,1.204389,2.172152,0.138617,0.301097
ancestor-descendant,0.466656,1.035627,2.219249,0.116664,0.258907
ancestor-descendant,0.564487,1.216445,2.154955,0.188162,0.405482
ancestor-descendant,0.594922,1.219442,2.049752,0.148730,0.304860
ancestor-descendant,0.564457,1.178783,2.088349,0.141114,0.294696
ancestor-descendant,0.555330,1.166372,2.100323,0.138832,0.291593
ancestor-descendant,0.529021,1.135821,2.147026,0.176340,0.378607
ancestor-descendant,0.512180,1.096709,2.141258,0.128045,0.274177
ancestor-descendant,0.577786,1.238852,2.144137,0.144446,0.309713
ancestor-descendant,0.475720,1.043026,2.192522,0.118930,0.260757
siblings,0.819730,1.809870,2.207886,0.819730,1.809870
unrelated,0.701515,1.558401,2.221478,0.701515,1.558401
unrelated,0.731017,1.611426,2.204363,0.365508,0.805713
unrelated,0.859317,1.870083,2.176243,0.286439,0.623361
unrelated,0.953972,2.049743,2.148640,0.238493,0.512436
unrelated,0.875816,1.898717,2.167941,0.218954,0.474679
unrelated,0.912106,1.954636,2.142992,0.228026,0.488659
